0,1,2
autopilot,1,commercial
autopilot,1,commercial
autopilot,1,commercial
autopilot,1,commercial
autopilot,1,commercial
autopilot,1,commercial
autopilot,1,commercial
autopilot,1,commercial
autopilot,1,commercial
autopilot,1,commercial
autopilot,1,commercial
autopilot,1,commercial
autopilot,1,commercial
autopilot,1,commercial
autopilot,1,commercial
autopilot,1,commercial
autopilot,1,commercial
autopilot,1,commercial
autopilot,1,commercial
autopilot,1,commercial
autopilot,1,commercial
autopilot,1,commercial
autopilot,1,commercial
autopilot,1,commercial
autopilot,1,commercial
autopilot,1,commercial
autopilot,1,military
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
collision,1,commercial
