0,1,2,3
autopilot,1,commercial,12/12/1942
autopilot,1,commercial,03/10/1946
autopilot,1,commercial,09/15/1951
autopilot,1,commercial,11/22/1968
autopilot,1,commercial,12/29/1972
autopilot,1,commercial,06/08/1983
autopilot,1,commercial,02/19/1985
autopilot,1,commercial,08/15/1985
autopilot,1,commercial,09/28/1989
autopilot,1,commercial,11/13/1993
autopilot,1,commercial,03/23/1994
autopilot,1,commercial,04/26/1994
autopilot,1,commercial,06/06/1994
autopilot,1,commercial,08/21/1994
autopilot,1,commercial,12/07/1995
autopilot,1,commercial,02/16/1998
autopilot,1,commercial,08/22/1999
autopilot,1,commercial,01/10/2000
autopilot,1,commercial,12/21/2002
autopilot,1,commercial,05/02/2005
autopilot,1,commercial,08/16/2005
autopilot,1,commercial,01/01/2007
autopilot,1,commercial,02/25/2009
autopilot,1,commercial,06/01/2009
autopilot,1,commercial,12/28/2014
autopilot,1,commercial,05/05/2019
autopilot,1,military,04/10/2010
collision,1,commercial,04/07/1922
collision,1,commercial,12/03/1928
collision,1,commercial,04/21/1929
collision,1,commercial,05/01/1935
collision,1,commercial,05/18/1935
collision,1,commercial,05/27/1935
collision,1,commercial,05/28/1935
collision,1,commercial,06/24/1935
collision,1,commercial,08/24/1938
collision,1,commercial,11/08/1940
collision,1,commercial,10/23/1942
collision,1,commercial,07/12/1945
collision,1,commercial,04/05/1948
collision,1,commercial,07/04/1948
collision,1,commercial,01/30/1949
collision,1,commercial,02/19/1949
collision,1,commercial,07/30/1949
collision,1,commercial,11/01/1949
collision,1,commercial,04/25/1951
collision,1,commercial,10/05/1952
collision,1,commercial,05/27/1953
collision,1,commercial,01/12/1954
collision,1,commercial,04/08/1954
collision,1,commercial,01/12/1955
collision,1,commercial,06/30/1956
collision,1,commercial,09/09/1956
collision,1,commercial,01/31/1957
collision,1,commercial,04/21/1958
collision,1,commercial,05/20/1958
collision,1,commercial,10/22/1958
collision,1,commercial,10/23/1959
collision,1,commercial,12/22/1959
collision,1,commercial,02/25/1960
collision,1,commercial,03/16/1960
collision,1,commercial,04/20/1960
collision,1,commercial,12/16/1960
collision,1,commercial,08/23/1962
collision,1,commercial,11/23/1962
collision,1,commercial,11/26/1962
collision,1,commercial,02/01/1963
collision,1,commercial,03/08/1964
collision,1,commercial,02/08/1965
collision,1,commercial,03/08/1965
collision,1,commercial,10/17/1965
collision,1,commercial,12/04/1965
collision,1,commercial,01/01/1966
collision,1,commercial,06/29/1966
collision,1,commercial,03/09/1967
collision,1,commercial,07/19/1967
collision,1,commercial,03/27/1968
collision,1,commercial,08/04/1968
collision,1,commercial,09/08/1968
collision,1,commercial,09/09/1969
collision,1,commercial,09/20/1969
collision,1,commercial,12/10/1969
collision,1,commercial,01/09/1971
collision,1,commercial,06/06/1971
collision,1,commercial,12/04/1971
collision,1,commercial,06/29/1972
collision,1,commercial,07/29/1972
collision,1,commercial,03/05/1973
collision,1,commercial,05/11/1973
collision,1,commercial,11/01/1974
collision,1,commercial,01/09/1975
collision,1,commercial,01/20/1976
collision,1,commercial,09/09/1976
collision,1,commercial,09/10/1976
collision,1,commercial,03/02/1978
collision,1,commercial,09/25/1978
collision,1,commercial,08/11/1979
collision,1,commercial,04/17/1981
collision,1,commercial,08/24/1981
collision,1,commercial,09/18/1981
collision,1,commercial,08/14/1982
collision,1,commercial,12/23/1982
collision,1,commercial,04/18/1984
collision,1,commercial,08/24/1984
collision,1,commercial,05/03/1985
collision,1,commercial,06/18/1986
collision,1,commercial,08/31/1986
collision,1,commercial,01/15/1987
collision,1,commercial,12/30/1989
collision,1,commercial,01/17/1990
collision,1,commercial,12/03/1990
collision,1,commercial,02/01/1991
collision,1,commercial,12/22/1992
collision,1,commercial,02/08/1993
collision,1,commercial,12/09/1993
collision,1,commercial,11/22/1994
collision,1,commercial,02/16/1995
collision,1,commercial,05/01/1995
collision,1,commercial,09/02/1995
collision,1,commercial,11/12/1996
collision,1,commercial,11/19/1996
collision,1,commercial,06/25/1998
collision,1,commercial,07/27/1998
collision,1,commercial,07/30/1998
collision,1,commercial,06/23/2000
collision,1,commercial,01/28/2002
collision,1,commercial,07/01/2002
collision,1,commercial,02/16/2003
collision,1,commercial,05/28/2003
collision,1,commercial,06/25/2003
collision,1,commercial,08/04/2003
collision,1,commercial,11/29/2003
collision,1,commercial,09/29/2004
collision,1,commercial,11/28/2004
collision,1,commercial,08/22/2006
collision,1,commercial,09/29/2006
collision,1,commercial,12/05/2007
collision,1,commercial,08/08/2009
collision,1,commercial,08/01/2010
collision,1,commercial,11/29/2013
collision,1,commercial,08/31/2016
collision,1,commercial,10/14/1919
collision,1,commercial,10/30/1919
collision,1,commercial,03/10/1920
collision,1,commercial,08/16/1920
collision,1,commercial,10/15/1920
collision,1,commercial,07/26/1922
collision,1,commercial,04/25/1925
collision,1,commercial,06/26/1925
collision,1,commercial,02/12/1926
collision,1,commercial,05/26/1928
collision,1,commercial,07/24/1928
collision,1,commercial,01/18/1929
collision,1,commercial,01/31/1929
collision,1,commercial,06/13/1929
collision,1,commercial,08/24/1929
collision,1,commercial,11/06/1929
collision,1,commercial,05/10/1930
collision,1,commercial,12/09/1930
collision,1,commercial,05/22/1931
collision,1,commercial,01/21/1932
collision,1,commercial,08/31/1932
collision,1,commercial,12/30/1933
collision,1,commercial,11/02/1934
collision,1,commercial,11/15/1934
collision,1,commercial,04/01/1935
collision,1,commercial,07/14/1935
collision,1,commercial,09/01/1935
collision,1,commercial,12/04/1935
collision,1,commercial,12/10/1935
collision,1,commercial,04/11/1936
collision,1,commercial,04/17/1936
collision,1,commercial,05/16/1936
collision,1,commercial,08/22/1936
collision,1,commercial,11/01/1936
collision,1,commercial,11/17/1936
collision,1,commercial,10/06/1937
collision,1,commercial,11/12/1937
collision,1,commercial,11/12/1937
collision,1,commercial,11/16/1937
collision,1,commercial,12/08/1937
collision,1,commercial,05/27/1938
collision,1,commercial,11/26/1938
collision,1,commercial,02/24/1939
collision,1,commercial,05/01/1939
collision,1,commercial,06/06/1939
collision,1,commercial,06/20/1939
collision,1,commercial,08/04/1939
collision,1,commercial,02/27/1940
collision,1,commercial,08/22/1940
collision,1,commercial,08/23/1940
collision,1,commercial,10/29/1940
collision,1,commercial,12/29/1941
collision,1,commercial,05/12/1942
collision,1,commercial,10/22/1943
collision,1,commercial,01/15/1944
collision,1,commercial,06/18/1944
